Age Group,total_cases_by_age,age_based_case_rate,age_based_deaths,age_based_death_rate,date
18-49,1847694,57.6,2567,6.6,2021-01-28
18-49,1857546,57.6,2616,6.7,2021-01-29
18-49,1867867,57.6,2662,6.7,2021-01-30
18-49,1876071,57.6,2691,6.7,2021-01-31
18-49,1882333,57.6,2702,6.7,2021-02-01
18-49,1887798,57.5,2748,6.7,2021-02-02
18-49,1894834,57.5,2802,6.7,2021-02-03
18-49,1902343,57.5,2851,6.7,2021-02-04
18-49,1908979,57.5,2897,6.7,2021-02-05
18-49,1917098,57.5,2921,6.7,2021-02-06
18-49,1922508,57.5,2942,6.7,2021-02-07
18-49,1926874,57.4,2955,6.7,2021-02-08
18-49,1931294,57.4,2985,6.7,2021-02-09
18-49,1935819,57.4,3021,6.7,2021-02-10
18-49,1941204,57.4,3050,6.7,2021-02-11
18-49,1946247,57.4,3069,6.7,2021-02-12
18-49,1950953,57.4,3100,6.7,2021-02-13
18-49,1954321,57.4,3113,6.7,2021-02-14
18-49,1957294,57.4,3118,6.7,2021-02-15
18-49,1959463,57.4,3138,6.7,2021-02-16
18-49,1962504,57.4,3157,6.6,2021-02-17
18-49,1966284,57.4,3183,6.6,2021-02-18
18-49,1969895,57.3,3221,6.7,2021-02-19
18-49,1973516,57.3,3245,6.6,2021-02-20
18-49,1976055,57.3,3269,6.7,2021-02-21
18-49,1977904,57.3,3273,6.7,2021-02-22
18-49,1980770,57.3,3302,6.7,2021-02-23
18-49,1983548,57.3,3377,6.7,2021-02-24
18-49,1986471,57.3,3413,6.7,2021-02-25
18-49,1989308,57.3,3428,6.7,2021-02-26
18-49,1991839,57.3,3441,6.6,2021-02-27
18-49,1993740,57.3,3459,6.6,2021-02-28
18-49,1995109,57.3,3467,6.7,2021-03-01
18-49,1996925,57.3,3482,6.6,2021-03-02
18-49,1998780,57.3,3515,6.7,2021-03-03
18-49,2001313,57.3,3534,6.6,2021-03-04
18-49,2003731,57.3,3550,6.6,2021-03-05
18-49,2005831,57.3,3565,6.6,2021-03-06
18-49,2007650,57.3,3567,6.6,2021-03-07
18-49,2009104,57.3,3572,6.6,2021-03-08
18-49,2012786,57.3,3601,6.6,2021-03-09
18-49,2014716,57.3,3620,6.6,2021-03-10
18-49,2016747,57.3,3636,6.6,2021-03-11
18-49,2018557,57.3,3656,6.6,2021-03-12
18-49,2020118,57.3,3674,6.7,2021-03-13
18-49,2021468,57.3,3684,6.7,2021-03-14
18-49,2022221,57.3,3688,6.7,2021-03-15
18-49,2023482,57.3,3702,6.7,2021-03-16
18-49,2025200,57.3,3715,6.7,2021-03-17
18-49,2027073,57.3,3732,6.7,2021-03-18
18-49,2028846,57.3,3732,6.7,2021-03-19
18-49,2030714,57.3,3737,6.7,2021-03-20
18-49,2031814,57.3,3761,6.7,2021-03-21
18-49,2032880,57.3,3764,6.7,2021-03-22
18-49,2034026,57.3,3781,6.7,2021-03-23
18-49,2035373,57.3,3801,6.7,2021-03-24
18-49,2036888,57.3,3812,6.6,2021-03-25
18-49,2038803,57.3,3831,6.7,2021-03-26
18-49,2040565,57.3,3843,6.7,2021-03-27
18-49,2041874,57.3,3845,6.7,2021-03-28
18-49,2042995,57.3,3846,6.7,2021-03-29
18-49,2044163,57.3,3854,6.7,2021-03-30
18-49,2045519,57.3,3868,6.7,2021-03-31
18-49,2046901,57.3,3879,6.7,2021-04-01
18-49,2049889,57.3,3884,6.7,2021-04-02
18-49,2051415,57.3,3895,6.7,2021-04-03
18-49,2052679,57.3,3896,6.7,2021-04-04
18-49,2053485,57.3,3898,6.7,2021-04-05
18-49,2054830,57.3,3903,6.7,2021-04-06
18-49,2056115,57.3,3915,6.7,2021-04-07
18-49,2057797,57.3,3927,6.7,2021-04-08
18-49,2060545,57.3,3938,6.7,2021-04-09
18-49,2063506,57.3,3945,6.7,2021-04-10
18-49,2065020,57.3,3946,6.7,2021-04-11
18-49,2065938,57.3,3947,6.7,2021-04-12
18-49,2067505,57.3,3952,6.7,2021-04-13
18-49,2068722,57.3,3961,6.7,2021-04-14
18-49,2070149,57.3,3968,6.7,2021-04-15
18-49,2071818,57.3,3977,6.7,2021-04-16
18-49,2073392,57.3,3980,6.7,2021-04-17
18-49,2074515,57.3,3981,6.7,2021-04-18
18-49,2075390,57.3,3983,6.7,2021-04-19
18-49,2076661,57.3,3988,6.7,2021-04-20
18-49,2078108,57.3,3993,6.7,2021-04-21
18-49,2079179,57.3,3997,6.7,2021-04-22
18-49,2079972,57.3,4000,6.7,2021-04-23
18-49,2080988,57.3,4005,6.7,2021-04-24
18-49,2082210,57.3,4007,6.7,2021-04-25
18-49,2083067,57.3,4007,6.7,2021-04-26
18-49,2083997,57.3,4011,6.7,2021-04-27
18-49,2084875,57.3,4013,6.6,2021-04-28
18-49,2085955,57.3,4019,6.6,2021-04-29
18-49,2087200,57.3,4030,6.6,2021-04-30
18-49,2088492,57.3,4040,6.7,2021-05-01
18-49,2089376,57.3,4039,6.6,2021-05-02
18-49,2090146,57.3,4040,6.6,2021-05-03
18-49,2090978,57.3,4049,6.7,2021-05-04
18-49,2091908,57.3,4052,6.7,2021-05-05
18-49,2093287,57.3,4066,6.7,2021-05-06
18-49,2094421,57.3,4078,6.7,2021-05-07
18-49,2095565,57.3,4084,6.7,2021-05-08
18-49,2096392,57.3,4085,6.7,2021-05-09
18-49,2096991,57.3,4086,6.7,2021-05-10
18-49,2097741,57.3,4092,6.7,2021-05-11
18-49,2098576,57.3,4098,6.7,2021-05-12
18-49,2099750,57.3,4106,6.7,2021-05-13
18-49,2100836,57.3,4108,6.7,2021-05-14
18-49,2101642,57.3,4114,6.7,2021-05-15
18-49,2102164,57.3,4114,6.7,2021-05-16
18-49,2102536,57.3,4114,6.7,2021-05-17
18-49,2103075,57.3,4120,6.7,2021-05-18
18-49,2103808,57.3,4123,6.7,2021-05-19
18-49,2104769,57.3,4134,6.7,2021-05-20
18-49,2105481,57.3,4146,6.7,2021-05-21
18-49,2106230,57.3,4152,6.7,2021-05-22
18-49,2106814,57.3,4152,6.7,2021-05-23
18-49,2107149,57.3,4153,6.7,2021-05-24
18-49,2107863,57.3,4157,6.7,2021-05-25
18-49,2108644,57.3,4160,6.7,2021-05-26
18-49,2110983,57.3,4169,6.7,2021-05-27
18-49,2111663,57.3,4170,6.7,2021-05-28
18-49,2112296,57.3,4167,6.7,2021-05-29
18-49,2112676,57.3,4167,6.7,2021-05-30
18-49,2112932,57.3,4167,6.7,2021-05-31
18-49,2113216,57.3,4168,6.7,2021-06-01
18-49,2113665,57.3,4176,6.7,2021-06-02
18-49,2114286,57.3,4181,6.7,2021-06-03
18-49,2114961,57.3,4185,6.7,2021-06-04
18-49,2115563,57.3,4202,6.7,2021-06-05
18-49,2116061,57.3,4203,6.7,2021-06-06
18-49,2116510,57.3,4203,6.7,2021-06-07
18-49,2116998,57.3,4202,6.7,2021-06-08
18-49,2117480,57.3,4204,6.7,2021-06-09
18-49,2118129,57.3,4212,6.7,2021-06-10
18-49,2118723,57.3,4211,6.7,2021-06-11
18-49,2119276,57.3,4206,6.7,2021-06-12
18-49,2119756,57.3,4204,6.7,2021-06-13
18-49,2120111,57.3,4204,6.7,2021-06-14
18-49,2120523,57.3,4203,6.7,2021-06-15
18-49,2121032,57.3,4207,6.7,2021-06-16
18-49,2121782,57.3,4212,6.7,2021-06-17
18-49,2122511,57.3,4213,6.7,2021-06-18
18-49,2123084,57.3,4217,6.7,2021-06-19
18-49,2123729,57.3,4219,6.7,2021-06-20
18-49,2124094,57.3,4219,6.7,2021-06-21
18-49,2124566,57.3,4220,6.7,2021-06-22
18-49,2125416,57.3,4225,6.7,2021-06-23
18-49,2126605,57.3,4230,6.7,2021-06-24
18-49,2127613,57.3,4238,6.7,2021-06-25
18-49,2128913,57.3,4242,6.7,2021-06-26
18-49,2129631,57.3,4242,6.7,2021-06-27
18-49,2130090,57.3,4244,6.7,2021-06-28
18-49,2127853,57.3,4250,6.7,2021-06-29
18-49,2128890,57.3,4260,6.8,2021-06-30
18-49,2130049,57.4,4269,6.8,2021-07-01
18-49,2133692,57.4,4282,6.8,2021-07-05
18-49,2134547,57.4,4285,6.8,2021-07-06
18-49,2135432,57.4,4292,6.8,2021-07-07
18-49,2136966,57.4,4305,6.8,2021-07-08
18-49,2142887,57.4,4317,6.8,2021-07-11
18-49,2145054,57.4,4317,6.8,2021-07-12
18-49,2147156,57.4,4320,6.8,2021-07-13
18-49,2149500,57.4,4325,6.8,2021-07-14
18-49,2152626,57.4,4335,6.8,2021-07-15
18-49,2161825,57.5,4345,6.8,2021-07-18
18-49,2164825,57.5,4345,6.8,2021-07-19
18-49,2168204,57.5,4347,6.8,2021-07-20
18-49,2171794,57.5,4352,6.8,2021-07-21
18-49,2176918,57.5,4356,6.8,2021-07-22
18-49,2190878,57.5,4362,6.8,2021-07-25
18-49,2195743,57.5,4363,6.8,2021-07-26
18-49,2200064,57.6,4370,6.8,2021-07-27
18-49,2204684,57.6,4377,6.9,2021-07-28
18-49,2210999,57.6,4382,6.9,2021-07-29
18-49,2231493,57.6,4398,6.9,2021-08-01
18-49,2235869,57.6,4400,6.9,2021-08-02
18-49,2241010,57.6,4411,6.9,2021-08-03
18-49,2246695,57.6,4421,6.9,2021-08-04
18-49,2255513,57.6,4429,6.9,2021-08-05
18-49,2263260,57.6,4434,6.9,2021-08-06
18-49,2271239,57.6,4441,6.9,2021-08-07
18-49,2277380,57.7,4441,6.9,2021-08-08
18-49,2282857,57.7,4443,6.9,2021-08-09
18-49,2288657,57.7,4439,6.9,2021-08-10
18-49,2294564,57.6,4446,6.9,2021-08-11
18-49,2302567,57.6,4456,7,2021-08-12
18-49,2310923,57.6,4465,7,2021-08-13
18-49,2318361,57.6,4468,7,2021-08-14
18-49,2324340,57.6,4469,7,2021-08-15
18-49,2329586,57.6,4472,7,2021-08-16
18-49,2337653,57.6,4487,7,2021-08-17
18-49,2344428,57.6,4500,7,2021-08-18
18-49,2352386,57.6,4517,7,2021-08-19
18-49,2359672,57.6,4527,7,2021-08-20
18-49,2367391,57.6,4541,7,2021-08-21
18-49,2372854,57.5,4544,7,2021-08-22
18-49,2378160,57.5,4546,7,2021-08-23
18-49,2384658,57.5,4559,7,2021-08-24
18-49,2390879,57.5,4591,7.1,2021-08-25
18-49,2397935,57.5,4609,7.1,2021-08-26
18-49,2405781,57.5,4618,7.1,2021-08-27
18-49,2411824,57.5,4635,7.1,2021-08-28
18-49,2419509,57.4,4642,7.1,2021-08-29
18-49,2424412,57.4,4645,7.1,2021-08-30
18-49,2436691,57.4,4666,7.1,2021-08-31
18-49,2441860,57.4,4692,7.2,2021-09-01
18-49,2447950,57.4,4714,7.2,2021-09-02
18-49,2452592,57.3,4728,7.2,2021-09-03
18-49,2459890,57.3,4758,7.2,2021-09-04
18-49,2464368,57.3,4759,7.2,2021-09-05
18-49,2468154,57.3,4768,7.2,2021-09-06
18-49,2471700,57.3,4776,7.2,2021-09-07
18-49,2475392,57.3,4798,7.2,2021-09-08
18-49,2480216,57.3,4827,7.3,2021-09-09
18-49,2487376,57.2,4856,7.3,2021-09-10
18-49,2491934,57.2,4864,7.3,2021-09-11
18-49,2495306,57.2,4863,7.3,2021-09-12
18-49,2501314,57.2,4881,7.3,2021-09-13
18-49,2505300,57.2,4922,7.3,2021-09-14
18-49,2509121,57.2,4947,7.4,2021-09-15
18-49,2513974,57.2,4982,7.4,2021-09-16
18-49,2518896,57.2,5002,7.4,2021-09-17
18-49,2523466,57.1,5032,7.4,2021-09-18
18-49,2526468,57.1,5033,7.4,2021-09-19
18-49,2529487,57.1,5032,7.4,2021-09-20
18-49,2532898,57.1,5050,7.5,2021-09-21
18-49,2536308,57.1,5074,7.5,2021-09-22
18-49,2540017,57.1,5092,7.5,2021-09-23
18-49,2551638,57.1,5135,7.5,2021-09-26
18-49,2553928,57.1,5141,7.5,2021-09-27
18-49,2557346,57,5164,7.5,2021-09-28
18-49,2560414,57,5185,7.6,2021-09-29
18-49,2564360,57,5202,7.6,2021-09-30
18-49,2573903,57,5237,7.6,2021-10-03
18-49,2575750,57,5239,7.6,2021-10-04
18-49,2578512,57,5264,7.6,2021-10-05
18-49,2580922,57,5294,7.6,2021-10-06
18-49,2584210,57,5315,7.6,2021-10-07
18-49,2592561,56.9,5346,7.7,2021-10-10
18-49,2594509,56.9,5352,7.7,2021-10-11
18-49,2596654,56.9,5370,7.7,2021-10-12
18-49,2598610,56.9,5394,7.7,2021-10-13
18-49,2601602,56.9,5412,7.7,2021-10-14
18-49,2609796,56.9,5451,7.7,2021-10-17
18-49,2611756,56.9,5459,7.8,2021-10-18
18-49,2613248,56.9,5481,7.8,2021-10-19
18-49,2615784,56.9,5508,7.8,2021-10-20
18-49,2618779,56.8,5533,7.8,2021-10-21
18-49,2631070,56.8,5566,7.8,2021-10-25
18-49,2633243,56.8,5582,7.8,2021-10-26
18-49,2635746,56.8,5603,7.8,2021-10-27
18-49,2639315,56.8,5621,7.9,2021-10-28
18-49,2648926,56.8,5634,7.9,2021-10-31
18-49,2650961,56.8,5640,7.9,2021-11-01
18-49,2652699,56.7,5643,7.9,2021-11-02
18-49,2655692,56.7,5662,7.9,2021-11-03
18-49,2659632,56.7,5678,7.9,2021-11-04
18-49,2669334,56.7,5704,7.9,2021-11-07
18-49,2671343,56.7,5708,7.9,2021-11-08
18-49,2673270,56.7,5728,7.9,2021-11-09
18-49,2675646,56.7,5749,8,2021-11-10
18-49,2681756,56.7,5769,8,2021-11-12
18-49,2686025,56.7,5791,8,2021-11-14
18-49,2688337,56.7,5794,8,2021-11-15
18-49,2690361,56.7,5804,8,2021-11-16
18-49,2692570,56.7,5812,8,2021-11-17
18-49,2695249,56.6,5829,8,2021-11-18
18-49,2703051,56.6,5857,8,2021-11-21
18-49,2705144,56.6,5861,8,2021-11-22
18-49,2706716,56.6,5879,8,2021-11-23
18-49,2718155,56.6,5924,8,2021-11-28
18-49,2720671,56.6,5927,8,2021-11-29
18-49,2722560,56.6,5948,8.1,2021-11-30
18-49,2725221,56.6,5951,8.1,2021-12-01
18-49,2729065,56.6,5967,8.1,2021-12-02
18-49,2740472,56.6,5993,8.1,2021-12-05
18-49,2743549,56.6,5992,8.1,2021-12-06
18-49,2745988,56.5,6005,8.1,2021-12-07
18-49,2748610,56.5,6013,8.1,2021-12-08
18-49,2751763,56.5,6023,8.1,2021-12-09
18-49,2761359,56.5,6047,8.1,2021-12-12
18-49,2764158,56.5,6045,8.1,2021-12-13
18-49,2766527,56.5,6055,8.1,2021-12-14
18-49,2769571,56.5,6070,8.1,2021-12-15
18-49,2773735,56.5,6084,8.1,2021-12-16
18-49,2790501,56.5,6104,8.1,2021-12-19
18-49,2795445,56.6,6102,8.1,2021-12-20
18-49,2802981,56.6,6112,8.1,2021-12-21
18-49,2813756,56.6,6133,8.1,2021-12-22
18-49,2828194,56.7,6146,8.1,2021-12-23
18-49,2888105,56.9,6159,8.2,2021-12-27
18-49,2901479,56.9,6159,8.1,2021-12-28
18-49,2925231,57,6176,8.2,2021-12-29
18-49,2961020,57,6182,8.2,2021-12-30
18-49,3107200,57.2,6188,8.2,2022-01-03
18-49,3137553,57.3,6203,8.2,2022-01-04
18-49,3167172,57.3,6208,8.2,2022-01-05
18-49,3226355,57.3,6246,8.2,2022-01-06
18-49,3395299,57.1,6273,8.2,2022-01-09
18-49,3470787,57,6272,8.2,2022-01-10
18-49,3527727,57,6287,8.2,2022-01-11
18-49,3584583,56.9,6298,8.2,2022-01-12
18-49,3647229,56.8,6313,8.2,2022-01-13
18-49,3808392,56.5,6354,8.2,2022-01-16
18-49,3845862,56.5,6359,8.2,2022-01-17
18-49,3896888,56.4,6360,8.2,2022-01-18
18-49,3941466,56.3,6378,8.2,2022-01-19
18-49,4006859,56.2,6399,8.2,2022-01-20
18-49,4151134,55.9,6439,8.2,2022-01-23
18-49,4182153,55.9,6436,8.2,2022-01-24
18-49,4225268,55.8,6451,8.2,2022-01-25
18-49,4254544,55.8,6479,8.2,2022-01-26
18-49,4291909,55.7,6497,8.2,2022-01-27
18-49,4374586,55.5,6543,8.3,2022-01-30
18-49,4392722,55.5,6555,8.3,2022-01-31
18-49,4405399,55.5,6570,8.3,2022-02-01
18-49,4418021,55.4,6585,8.3,2022-02-02
18-49,4435650,55.4,6600,8.2,2022-02-03
18-49,4470938,55.3,6632,8.2,2022-02-06
18-49,4493576,55.3,6629,8.2,2022-02-07
18-49,4514283,55.3,6650,8.2,2022-02-08
18-49,4521380,55.3,6662,8.2,2022-02-09
18-49,4532284,55.2,6683,8.2,2022-02-10
18-49,4550870,55.2,6733,8.2,2022-02-13
18-49,4557401,55.2,6735,8.2,2022-02-14
18-49,4563592,55.2,6754,8.2,2022-02-15
18-49,4569757,55.2,6770,8.2,2022-02-16
18-49,4575748,55.2,6785,8.2,2022-02-17
18-49,4595854,55.1,6831,8.2,2022-02-21
18-49,4599187,55.1,6836,8.2,2022-02-22
18-49,4602710,55.1,6858,8.2,2022-02-23
18-49,4609346,55.1,6873,8.2,2022-02-24
18-49,4619123,55.1,6926,8.2,2022-02-27
18-49,4619808,55.1,6925,8.2,2022-02-28
18-49,4622829,55.1,6945,8.2,2022-03-01
18-49,4625443,55.1,6952,8.2,2022-03-02
18-49,4628369,55.1,6976,8.2,2022-03-03
18-49,4634926,55.1,7003,8.2,2022-03-06
18-49,4636020,55.1,7003,8.2,2022-03-07
18-49,4638472,55.1,7013,8.2,2022-03-08
18-49,4640079,55.1,7023,8.1,2022-03-09
18-49,4642059,55.1,7040,8.1,2022-03-10
18-49,4648193,55.1,7066,8.1,2022-03-13
18-49,4648523,55.1,7067,8.1,2022-03-14
18-49,4650402,55.1,7078,8.1,2022-03-15
18-49,4651980,55.1,7085,8.1,2022-03-16
18-49,4654395,55.1,7099,8.1,2022-03-17
18-49,4662262,55.1,7126,8.1,2022-03-20
18-49,4662590,55.1,7124,8.1,2022-03-21
18-49,4665240,55.1,7127,8.1,2022-03-22
18-49,4666491,55.1,7135,8.1,2022-03-23
18-49,4668116,55.1,7142,8.1,2022-03-24
18-49,4672116,55.1,7154,8.1,2022-03-27
18-49,4672525,55.1,7156,8.1,2022-03-28
18-49,4674062,55.1,7166,8.1,2022-03-29
18-49,4675829,55.1,7168,8.1,2022-03-30
18-49,4678250,55.1,7178,8.1,2022-03-31
18-49,4684302,55.1,7184,8.1,2022-04-04
18-49,4690030,55.1,7208,8.1,2022-04-07
18-49,4699133,55.1,7218,8.1,2022-04-12
18-49,4703817,55.1,7227,8.1,2022-04-14
18-49,4711832,55.1,7241,8.1,2022-04-18
18-49,4720837,55.1,7255,8.1,2022-04-21
18-49,4732983,55.1,7265,8.1,2022-04-25
18-49,4743047,55.1,7278,8.1,2022-04-28
18-49,4757738,55.1,7287,8.1,2022-05-02
18-49,4770343,55.1,7300,8.1,2022-05-05
18-49,4788841,55.1,7311,8.1,2022-05-09
18-49,4799573,55.1,7338,8.1,2022-05-12
18-49,4826421,55.1,7351,8.1,2022-05-16
18-49,4847489,55.1,7364,8.1,2022-05-19
18-49,4877485,55.1,7371,8.1,2022-05-23
18-49,4900207,55.1,7379,8.1,2022-05-26
18-49,4932155,55.1,7387,8.1,2022-05-30
18-49,4950162,55.1,7393,8.1,2022-06-02
18-49,4987968,55.1,7398,8.1,2022-06-06
18-49,5013636,55.1,7410,8.1,2022-06-09
18-49,5048065,55.1,7421,8.1,2022-06-13
18-49,5064971,55.1,7426,8.1,2022-06-16
18-49,5100383,55.1,7430,8.1,2022-06-20
18-49,5126821,55.1,7443,8.1,2022-06-23
18-49,5162449,55,7448,8.1,2022-06-27
18-49,5191397,55,7465,8.1,2022-06-30
18-49,5228640,55,7470,8.1,2022-07-04
18-49,5250235,55,7488,8.1,2022-07-07
18-49,5292964,55,7495,8.1,2022-07-11
18-49,5324003,55,7502,8.1,2022-07-14
18-49,5363666,55,7508,8.1,2022-07-18
18-49,5391302,55,7514,8.1,2022-07-21
18-49,5426434,55,7521,8.1,2022-07-25
18-49,5453213,55,7529,8.1,2022-07-28
18-49,5485134,54.9,7535,8.1,2022-08-01
18-49,5506579,54.9,7544,8.1,2022-08-04
18-49,5531319,54.9,7557,8.1,2022-08-08
18-49,5548356,54.9,7577,8.1,2022-08-11
18-49,5569564,54.9,7576,8.1,2022-08-15
18-49,5584086,54.9,7591,8.1,2022-08-18
18-49,5601974,54.9,7595,8.1,2022-08-22
18-49,5614528,54.8,7609,8.1,2022-08-25
18-49,5629370,54.8,7613,8.1,2022-08-29
18-49,5640889,54.8,7617,8.1,2022-09-01
18-49,5652540,54.8,7621,8.1,2022-09-05
18-49,5660126,54.8,7626,8.1,2022-09-08
18-49,5687623,54.8,7649,8.1,2022-09-20
50-64,10025,26.8,223,16,2020-04-22
50-64,10451,26.6,234,15.7,2020-04-23
50-64,10885,26.5,246,15.6,2020-04-24
50-64,11139,26.4,254,15.4,2020-04-25
50-64,11442,26.3,258,15.4,2020-04-26
50-64,11781,26.2,265,15.4,2020-04-27
50-64,12153,26.1,284,15.7,2020-04-28
50-64,12705,26,292,15.5,2020-04-29
50-64,13044,25.9,308,15.5,2020-04-30
50-64,13454,25.8,322,15.5,2020-05-01
50-64,13773,25.7,331,15.5,2020-05-02
50-64,14078,25.6,335,15.4,2020-05-03
50-64,14366,25.6,342,15.4,2020-05-04
50-64,14974,25.5,353,15.2,2020-05-05
50-64,15375,25.4,370,15.3,2020-05-06
50-64,15793,25.3,386,15.5,2020-05-07
50-64,16250,25.2,395,15.3,2020-05-08
50-64,16729,25.1,405,15.2,2020-05-09
50-64,17002,25,412,15.3,2020-05-10
50-64,17322,25,418,15.2,2020-05-11
50-64,17701,24.9,440,15.5,2020-05-12
50-64,18154,24.8,445,15.2,2020-05-13
50-64,18510,24.7,459,15.2,2020-05-14
50-64,18908,24.6,468,15,2020-05-15
50-64,19365,24.6,475,14.9,2020-05-16
50-64,19703,24.5,481,15,2020-05-17
50-64,20003,24.5,483,14.9,2020-05-18
50-64,20468,24.4,509,15.1,2020-05-19
50-64,20967,24.3,522,15.1,2020-05-20
50-64,21461,24.3,536,15.1,2020-05-21
50-64,21938,24.2,544,15.2,2020-05-22
50-64,22361,24.1,556,15.2,2020-05-23
50-64,22754,24.1,560,15.3,2020-05-24
50-64,23185,24,560,15.2,2020-05-25
50-64,23633,23.9,564,15.2,2020-05-26
50-64,24154,23.8,579,15.2,2020-05-27
50-64,24617,23.7,599,15.3,2020-05-28
50-64,25223,23.6,618,15.5,2020-05-29
50-64,25964,23.5,627,15.5,2020-05-30
50-64,26405,23.4,636,15.6,2020-05-31
50-64,26880,23.3,642,15.6,2020-06-01
50-64,27334,23.2,662,15.6,2020-06-02
50-64,27762,23.2,671,15.6,2020-06-03
50-64,28396,23.1,686,15.7,2020-06-04
50-64,29033,23,696,15.7,2020-06-05
50-64,29556,22.9,709,15.8,2020-06-06
50-64,30025,22.9,715,15.8,2020-06-07
50-64,30400,22.8,721,15.8,2020-06-08
50-64,30914,22.7,741,15.9,2020-06-09
50-64,31530,22.6,756,15.9,2020-06-10
50-64,32069,22.6,771,16,2020-06-11
50-64,32783,22.5,778,15.9,2020-06-12
50-64,33357,22.4,792,16,2020-06-13
50-64,33871,22.4,798,16,2020-06-14
50-64,34290,22.3,801,16,2020-06-15
50-64,34922,22.2,812,16,2020-06-16
50-64,35609,22.1,825,16,2020-06-17
50-64,36485,22.1,841,16,2020-06-18
50-64,37213,22,851,16,2020-06-19
50-64,38046,21.9,868,16.1,2020-06-20
50-64,38795,21.8,875,16.1,2020-06-21
50-64,39667,21.7,880,16.2,2020-06-22
50-64,40923,21.5,889,16.2,2020-06-23
50-64,41870,21.4,909,16.2,2020-06-24
50-64,42721,21.3,932,16.3,2020-06-25
50-64,43730,21.2,944,16.3,2020-06-26
50-64,44383,21.1,954,16.4,2020-06-27
50-64,45434,21,964,16.5,2020-06-28
50-64,46486,20.9,967,16.5,2020-06-29
50-64,48149,20.7,985,16.5,2020-06-30
50-64,49466,20.6,1002,16.5,2020-07-01
50-64,50845,20.5,1023,16.5,2020-07-02
50-64,51955,20.4,1036,16.6,2020-07-03
50-64,52869,20.3,1038,16.6,2020-07-04
50-64,54836,20.2,1044,16.6,2020-07-05
50-64,55931,20.1,1053,16.6,2020-07-06
50-64,58017,20,1069,16.5,2020-07-07
50-64,59300,20,1101,16.6,2020-07-08
50-64,60708,20,1148,16.9,2020-07-09
50-64,62124,19.9,1170,17,2020-07-10
50-64,63696,19.9,1187,17,2020-07-11
50-64,65134,19.8,1192,17,2020-07-12
50-64,66427,19.7,1193,16.9,2020-07-13
50-64,68493,19.7,1220,17,2020-07-14
50-64,69998,19.7,1238,17,2020-07-15
50-64,71688,19.6,1271,17.2,2020-07-16
50-64,73362,19.5,1294,17.2,2020-07-17
50-64,74999,19.5,1306,17.1,2020-07-18
50-64,76179,19.5,1311,17.1,2020-07-19
50-64,77787,19.4,1317,17.2,2020-07-20
50-64,80056,19.4,1337,17.2,2020-07-21
50-64,82217,19.3,1371,17.2,2020-07-22
50-64,84114,19.3,1402,17.3,2020-07-23
50-64,86034,19.3,1430,17.4,2020-07-24
50-64,87494,19.3,1463,17.5,2020-07-25
50-64,88800,19.3,1467,17.4,2020-07-26
50-64,89869,19.3,1469,17.4,2020-07-27
50-64,91465,19.2,1497,17.6,2020-07-28
50-64,93273,19.2,1534,17.5,2020-07-29
50-64,94730,19.2,1569,17.6,2020-07-30
50-64,95892,19.2,1594,17.5,2020-07-31
50-64,97551,19.2,1626,17.6,2020-08-01
50-64,98574,19.1,1646,17.6,2020-08-02
50-64,99383,19.1,1652,17.7,2020-08-03
50-64,100408,19.1,1693,17.8,2020-08-04
50-64,101404,19.1,1731,17.9,2020-08-05
50-64,102941,19.1,1758,17.9,2020-08-06
50-64,104297,19.1,1791,17.9,2020-08-07
50-64,105860,19.1,1838,18.1,2020-08-08
50-64,107300,19.1,1856,18.1,2020-08-09
50-64,109714,19.1,1863,18.1,2020-08-10
50-64,111811,19.1,1910,18.2,2020-08-11
50-64,113099,19.1,1941,18.2,2020-08-12
50-64,114633,19.1,1974,18.2,2020-08-13
50-64,116986,19.1,2010,18.3,2020-08-14
50-64,118498,19.1,2039,18.4,2020-08-15
50-64,119629,19,2041,18.4,2020-08-16
50-64,120440,19,2047,18.4,2020-08-17
50-64,121521,19,2084,18.4,2020-08-18
50-64,122554,19,2112,18.4,2020-08-19
50-64,123591,19,2142,18.5,2020-08-20
50-64,124841,19,2169,18.5,2020-08-21
50-64,126041,19,2204,18.5,2020-08-22
50-64,126998,19,2209,18.5,2020-08-23
50-64,127847,19,2213,18.4,2020-08-24
50-64,128929,19,2247,18.5,2020-08-25
50-64,129732,19,2266,18.4,2020-08-26
50-64,130701,19,2301,18.5,2020-08-27
50-64,131694,19,2317,18.4,2020-08-28
50-64,132806,19,2348,18.4,2020-08-29
50-64,133533,19,2351,18.4,2020-08-30
50-64,134175,19,2359,18.4,2020-08-31
50-64,134862,18.9,2402,18.5,2020-09-01
50-64,135797,18.9,2438,18.6,2020-09-02
50-64,136757,18.9,2466,18.6,2020-09-03
50-64,137641,18.9,2513,18.7,2020-09-04
50-64,138496,18.9,2536,18.7,2020-09-05
50-64,139067,18.9,2543,18.7,2020-09-06
50-64,139563,18.9,2550,18.7,2020-09-07
50-64,139866,18.9,2578,18.8,2020-09-08
50-64,140488,18.9,2616,18.9,2020-09-09
50-64,141078,18.9,2643,18.9,2020-09-10
50-64,141798,18.9,2671,19,2020-09-11
50-64,142627,18.9,2695,19,2020-09-12
50-64,143153,18.9,2693,19,2020-09-13
50-64,143563,18.9,2716,19,2020-09-14
50-64,144116,18.9,2742,19,2020-09-15
50-64,144721,18.9,2758,19,2020-09-16
